env,sampler,potential_fn,seed,step,eval_return,train_return_last20
pendulum,sa,pvl_gae,2,1900544,-873.1574230481353,-847.6291849604193
pendulum,sa,pvl_gae,2,1950720,-829.6794978356537,-804.9497917587519
pendulum,sa,pvl_gae,2,2000896,-874.9415502472524,-823.5041937440876
pendulum,sa,pvl_gae,2,2050048,-809.7490560603201,-703.1400580137281
pendulum,sa,pvl_gae,2,2100224,-839.1411029362696,-956.6609522770771
pendulum,sa,pvl_gae,2,2150400,-823.249801296642,-635.29519939206
pendulum,sa,pvl_gae,2,2200576,-815.6171344025049,-870.2449695857006
pendulum,sa,pvl_gae,2,2250752,-798.3401395263841,-1014.6227209563834
pendulum,sa,pvl_gae,2,2300928,-802.4504015480411,-808.7211334406692
pendulum,sa,pvl_gae,2,2350080,-932.303656442596,-901.5009478321014
pendulum,sa,pvl_gae,2,2400256,-976.6705340556292,-675.5982605322556
pendulum,sa,pvl_gae,2,2450432,-1001.5116264289244,-698.2361970492551
pendulum,sa,pvl_gae,2,2500608,-836.2050307882489,-839.1363312559467
pendulum,sa,pvl_gae,2,2550784,-850.447868655363,-665.8642592956597
pendulum,sa,pvl_gae,2,2600960,-838.769177647084,-789.801486957225
pendulum,sa,pvl_gae,2,2650112,-826.6154533128872,-588.8604829722697
pendulum,sa,pvl_gae,2,2700288,-845.1092327649579,-927.7216441565437
pendulum,sa,pvl_gae,2,2750464,-913.6615929354299,-766.9619205969536
pendulum,sa,pvl_gae,2,2800640,-837.6173295806856,-945.4161554404615
pendulum,sa,pvl_gae,2,2850816,-760.9101325232675,-691.1216417194411
pendulum,sa,pvl_gae,2,2900992,-746.7787133640079,-717.035448072945
pendulum,sa,pvl_gae,2,2950144,-764.0478511286638,-1037.3642422880698
pendulum,sa,pvl_gae,2,2999296,-767.4029929682403,-518.3082421430587
