arm,seed,step,E0/n_learnable,E0/success,E0/success_all,E0/mean_steps,E1/n_learnable,E1/success,E1/success_all,E1/mean_steps,E1b/n_learnable,E1b/success,E1b/success_all,E1b/mean_steps,E2/n_learnable,E2/success,E2/success_all,E2/mean_steps,E3a/n_learnable,E3a/success,E3a/success_all,E3a/mean_steps,E3b/n_learnable,E3b/success,E3b/success_all,E3b/mean_steps,E4/n_learnable,E4/success,E4/success_all,E4/mean_steps,E5/n_learnable,E5/success,E5/success_all,E5/mean_steps,n_episodes,n_new,wall_time_sec
A,1,20480,282,0.1347517730496454,0.12666666666666668,292.9468085106383,138,0.13043478260869565,0.12,320.92028985507244,93,0.053763440860215055,0.05,314.258064516129,95,0.1368421052631579,0.13,297.11578947368423,96,0.07291666666666667,0.07,318.2395833333333,92,0.15217391304347827,0.14,303.70652173913044,99,0.10101010101010101,0.1,238.77777777777777,272,0.07352941176470588,0.0625,267.90808823529414,1280,644,41.48882007598877
A,1,40960,282,0.2730496453900709,0.25666666666666665,361.5425531914894,138,0.2463768115942029,0.22666666666666666,366.963768115942,93,0.22580645161290322,0.21,358.39784946236557,95,0.22105263157894736,0.21,347.6421052631579,96,0.22916666666666666,0.22,358.8541666666667,92,0.2717391304347826,0.25,356.3695652173913,99,0.20202020202020202,0.2,308.90909090909093,272,0.3272058823529412,0.278125,384.75735294117646,1280,644,41.48882007598877
A,1,61440,282,0.07801418439716312,0.07333333333333333,242.54609929078015,138,0.057971014492753624,0.05333333333333334,243.02898550724638,93,0.053763440860215055,0.05,237.25806451612902,95,0.031578947368421054,0.03,231.62105263157895,96,0.020833333333333332,0.02,242.5,92,0.10869565217391304,0.1,251.66304347826087,99,0.04040404040404041,0.04,199.91919191919192,272,0.051470588235294115,0.04375,251.87132352941177,1280,644,41.48882007598877
A,1,81920,282,0.48936170212765956,0.46,406.81205673758865,138,0.4782608695652174,0.44,416.1014492753623,93,0.41935483870967744,0.39,407.7204301075269,95,0.37894736842105264,0.36,397.2526315789474,96,0.3958333333333333,0.38,409.6666666666667,92,0.44565217391304346,0.41,405.17391304347825,99,0.29292929292929293,0.29,339.85858585858585,272,0.5514705882352942,0.46875,425.52941176470586,1280,644,41.48882007598877
A,1,102400,282,0.9893617021276596,0.93,497.1666666666667,138,0.9855072463768116,0.9066666666666666,498.5217391304348,93,1.0,0.93,500.0,95,1.0,0.95,500.0,96,1.0,0.96,500.0,92,0.967391304347826,0.89,493.54347826086956,99,0.9696969696969697,0.96,494.64646464646466,272,0.9044117647058824,0.76875,480.0404411764706,1280,644,41.48882007598877
A,1,122880,282,0.9858156028368794,0.9266666666666666,498.12056737588654,138,0.9927536231884058,0.9133333333333333,499.8985507246377,93,1.0,0.93,500.0,95,0.9894736842105263,0.94,499.90526315789475,96,1.0,0.96,500.0,92,0.967391304347826,0.89,495.92391304347825,99,0.9696969696969697,0.96,498.27272727272725,272,0.9522058823529411,0.809375,490.1507352941176,1280,644,41.48882007598877
A,1,143360,282,0.10638297872340426,0.1,273.5425531914894,138,0.036231884057971016,0.03333333333333333,263.69565217391306,93,0.043010752688172046,0.04,258.78494623655916,95,0.09473684210526316,0.09,281.77894736842103,96,0.03125,0.03,260.1979166666667,92,0.10869565217391304,0.1,276.79347826086956,99,0.15151515151515152,0.15,271.17171717171715,272,0.08823529411764706,0.075,273.2977941176471,1280,644,41.48882007598877
A,1,163840,282,0.9432624113475178,0.8866666666666667,492.0354609929078,138,0.9927536231884058,0.9133333333333333,499.45652173913044,93,1.0,0.93,500.0,95,1.0,0.95,500.0,96,1.0,0.96,500.0,92,0.9565217391304348,0.88,494.35869565217394,99,0.9595959595959596,0.95,498.7070707070707,272,0.9448529411764706,0.803125,492.3860294117647,1280,644,41.48882007598877
A,1,184320,282,0.9787234042553191,0.92,495.33687943262413,138,0.9927536231884058,0.9133333333333333,499.6811594202899,93,1.0,0.93,500.0,95,1.0,0.95,500.0,96,1.0,0.96,500.0,92,0.9891304347826086,0.91,499.5978260869565,99,0.9797979797979798,0.97,498.6060606060606,272,0.9595588235294118,0.815625,492.09558823529414,1280,644,41.48882007598877
A,1,204800,282,0.23049645390070922,0.21666666666666667,304.8404255319149,138,0.18840579710144928,0.17333333333333334,298.9492753623188,93,0.15053763440860216,0.14,280.06451612903226,95,0.1368421052631579,0.13,273.06315789473683,96,0.15625,0.15,291.9895833333333,92,0.1956521739130435,0.18,297.4673913043478,99,0.15151515151515152,0.15,244.22222222222223,272,0.3639705882352941,0.309375,347.5220588235294,1280,644,41.48882007598877
A,2,0,282,0.02127659574468085,0.02,186.11702127659575,138,0.021739130434782608,0.02,188.3840579710145,93,0.03225806451612903,0.03,189.53763440860214,95,0.0,0.0,161.0842105263158,96,0.0,0.0,29.322916666666668,92,0.010869565217391304,0.01,177.1413043478261,99,0.020202020202020204,0.02,127.86868686868686,272,0.007352941176470588,0.00625,135.37867647058823,1640,823,41.51192283630371
A,2,20480,282,0.0070921985815602835,0.006666666666666667,155.89007092198582,138,0.021739130434782608,0.02,164.35507246376812,93,0.0,0.0,160.81720430107526,95,0.0,0.0,155.66315789473686,96,0.010416666666666666,0.01,167.22916666666666,92,0.021739130434782608,0.02,165.58695652173913,99,0.0,0.0,137.6969696969697,272,0.003676470588235294,0.003125,151.77941176470588,1640,823,41.51192283630371
A,2,40960,282,0.20921985815602837,0.19666666666666666,319.76241134751774,138,0.17391304347826086,0.16,324.6159420289855,93,0.16129032258064516,0.15,316.36559139784947,95,0.1368421052631579,0.13,302.88421052631577,96,0.20833333333333334,0.2,321.09375,92,0.21739130434782608,0.2,317.64130434782606,99,0.09090909090909091,0.09,259.67676767676767,272,0.24632352941176472,0.209375,346.77941176470586,1640,823,41.51192283630371
A,2,61440,282,0.05673758865248227,0.05333333333333334,205.5,138,0.036231884057971016,0.03333333333333333,197.731884057971,93,0.0,0.0,189.53763440860214,95,0.021052631578947368,0.02,187.94736842105263,96,0.041666666666666664,0.04,208.30208333333334,92,0.021739130434782608,0.02,205.15217391304347,99,0.050505050505050504,0.05,175.78787878787878,272,0.03308823529411765,0.028125,205.68014705882354,1640,823,41.51192283630371
A,2,81920,282,0.07092198581560284,0.06666666666666667,212.58510638297872,138,0.050724637681159424,0.04666666666666667,202.63768115942028,93,0.010752688172043012,0.01,194.27956989247312,95,0.05263157894736842,0.05,192.26315789473685,96,0.0625,0.06,207.8125,92,0.06521739130434782,0.06,207.6413043478261,99,0.030303030303030304,0.03,165.1818181818182,272,0.058823529411764705,0.05,234.02205882352942,1640,823,41.51192283630371
A,2,102400,282,0.1595744680851064,0.15,312.07801418439715,138,0.12318840579710146,0.11333333333333333,313.8478260869565,93,0.06451612903225806,0.06,300.3010752688172,95,0.14736842105263157,0.14,326.7263157894737,96,0.14583333333333334,0.14,309.7291666666667,92,0.21739130434782608,0.2,326.7826086956522,99,0.18181818181818182,0.18,289.979797979798,272,0.08088235294117647,0.06875,302.25367647058823,1640,823,41.51192283630371
A,2,122880,282,0.02127659574468085,0.02,182.38297872340425,138,0.021739130434782608,0.02,188.65217391304347,93,0.0,0.0,180.36559139784947,95,0.031578947368421054,0.03,195.81052631578947,96,0.010416666666666666,0.01,188.0625,92,0.043478260869565216,0.04,197.17391304347825,99,0.030303030303030304,0.03,181.88888888888889,272,0.003676470588235294,0.003125,179.6691176470588,1640,823,41.51192283630371
