arm,seed,run_seed,step,random/n,random/success,random/mean_steps,n_episodes,n_new,wall_time_sec
N,1002,509429501,286720,293,0.9283276450511946,155.6962457337884,7053,7053,257.9516658782959
N,1002,509429501,327680,293,0.9351535836177475,151.259385665529,7053,7053,257.9516658782959
N,1002,509429501,368640,293,0.9556313993174061,151.50511945392492,7053,7053,257.9516658782959
N,1002,509429501,409600,293,0.9556313993174061,152.9829351535836,7053,7053,257.9516658782959
N,1002,509429501,450560,293,0.9590443686006825,150.3481228668942,7053,7053,257.9516658782959
N,1002,509429501,491520,293,0.9419795221843004,163.8839590443686,7053,7053,257.9516658782959
N,1002,509429501,532480,293,0.9522184300341296,149.63822525597269,7053,7053,257.9516658782959
N,1002,509429501,573440,293,0.9658703071672355,148.35836177474403,7053,7053,257.9516658782959
N,1002,509429501,614400,293,0.9590443686006825,148.9863481228669,7053,7053,257.9516658782959
N,1002,509429501,655360,293,0.9556313993174061,151.18088737201364,7053,7053,257.9516658782959
N,1002,509429501,696320,293,0.9590443686006825,144.9556313993174,7053,7053,257.9516658782959
N,1002,509429501,737280,293,0.9590443686006825,146.32764505119454,7053,7053,257.9516658782959
N,1002,509429501,778240,293,0.9658703071672355,144.79180887372013,7053,7053,257.9516658782959
N,1002,509429501,819200,293,0.962457337883959,144.3071672354949,7053,7053,257.9516658782959
N,1002,509429501,860160,293,0.9590443686006825,146.7098976109215,7053,7053,257.9516658782959
N,1002,509429501,901120,293,0.9556313993174061,145.97610921501706,7053,7053,257.9516658782959
N,1002,509429501,942080,293,0.9590443686006825,147.09897610921502,7053,7053,257.9516658782959
N,1002,509429501,983040,293,0.9522184300341296,143.38225255972696,7053,7053,257.9516658782959
N,1002,509429501,1024000,293,0.9590443686006825,142.97952218430035,7053,7053,257.9516658782959
N,1002,509429501,1064960,293,0.9556313993174061,142.41296928327645,7053,7053,257.9516658782959
N,1002,509429501,1105920,293,0.9726962457337884,147.77474402730377,7053,7053,257.9516658782959
N,1002,509429501,1146880,293,0.9522184300341296,146.1433447098976,7053,7053,257.9516658782959
N,1002,509429501,1187840,293,0.9556313993174061,146.64505119453923,7053,7053,257.9516658782959
N,1002,509429501,1228800,293,0.8498293515358362,176.20477815699658,7053,7053,257.9516658782959
N,1004,3412689977,0,293,0.0,500.0,6970,6970,257.87323904037476
N,1004,3412689977,40960,293,0.931740614334471,160.16723549488054,6970,6970,257.87323904037476
N,1004,3412689977,81920,293,0.9522184300341296,154.0307167235495,6970,6970,257.87323904037476
N,1004,3412689977,122880,293,0.8464163822525598,197.08191126279863,6970,6970,257.87323904037476
N,1004,3412689977,163840,293,0.8498293515358362,186.52559726962457,6970,6970,257.87323904037476
N,1004,3412689977,204800,293,0.8839590443686007,168.55631399317406,6970,6970,257.87323904037476
N,1004,3412689977,245760,293,0.9215017064846417,158.11262798634812,6970,6970,257.87323904037476
N,1004,3412689977,286720,293,0.9453924914675768,147.76109215017064,6970,6970,257.87323904037476
N,1004,3412689977,327680,293,0.9419795221843004,153.07167235494882,6970,6970,257.87323904037476
N,1004,3412689977,368640,293,0.9829351535836177,144.4061433447099,6970,6970,257.87323904037476
N,1004,3412689977,409600,293,0.9556313993174061,153.54607508532422,6970,6970,257.87323904037476
N,1004,3412689977,450560,293,0.9453924914675768,141.15017064846415,6970,6970,257.87323904037476
N,1004,3412689977,491520,293,0.9488054607508533,149.50853242320818,6970,6970,257.87323904037476
N,1004,3412689977,532480,293,0.8771331058020477,169.0580204778157,6970,6970,257.87323904037476
N,1004,3412689977,573440,293,0.9044368600682594,161.6962457337884,6970,6970,257.87323904037476
N,1004,3412689977,614400,293,0.9146757679180887,163.3071672354949,6970,6970,257.87323904037476
N,1004,3412689977,655360,293,0.9453924914675768,153.79522184300342,6970,6970,257.87323904037476
N,1004,3412689977,696320,293,0.9692832764505119,146.49488054607508,6970,6970,257.87323904037476
N,1004,3412689977,737280,293,0.9488054607508533,150.97610921501706,6970,6970,257.87323904037476
N,1004,3412689977,778240,293,0.9658703071672355,143.18088737201364,6970,6970,257.87323904037476
N,1004,3412689977,819200,293,0.9556313993174061,149.3481228668942,6970,6970,257.87323904037476
N,1004,3412689977,860160,293,0.9590443686006825,145.91126279863482,6970,6970,257.87323904037476
N,1004,3412689977,901120,293,0.9556313993174061,148.22525597269623,6970,6970,257.87323904037476
N,1004,3412689977,942080,293,0.962457337883959,148.25255972696246,6970,6970,257.87323904037476
N,1004,3412689977,983040,293,0.9590443686006825,144.16723549488054,6970,6970,257.87323904037476
N,1004,3412689977,1024000,293,0.9692832764505119,141.15358361774744,6970,6970,257.87323904037476
N,1004,3412689977,1064960,293,0.9658703071672355,140.95221843003412,6970,6970,257.87323904037476
N,1004,3412689977,1105920,293,0.9590443686006825,145.36860068259386,6970,6970,257.87323904037476
N,1004,3412689977,1146880,293,0.9556313993174061,149.35836177474403,6970,6970,257.87323904037476
N,1004,3412689977,1187840,293,0.9522184300341296,154.7269624573379,6970,6970,257.87323904037476
N,1004,3412689977,1228800,293,0.9522184300341296,150.22184300341297,6970,6970,257.87323904037476
N,1006,2971091088,0,293,0.0,500.0,6667,6667,257.8805170059204
N,1006,2971091088,40960,293,0.6996587030716723,283.839590443686,6667,6667,257.8805170059204
N,1006,2971091088,81920,293,0.78839590443686,220.22184300341297,6667,6667,257.8805170059204
N,1006,2971091088,122880,293,0.6075085324232082,289.7679180887372,6667,6667,257.8805170059204
N,1006,2971091088,163840,293,0.7747440273037542,255.82935153583617,6667,6667,257.8805170059204
N,1006,2971091088,204800,293,0.8430034129692833,232.20136518771332,6667,6667,257.8805170059204
N,1006,2971091088,245760,293,0.9488054607508533,150.22525597269623,6667,6667,257.8805170059204
N,1006,2971091088,286720,293,0.9180887372013652,165.27986348122866,6667,6667,257.8805170059204
N,1006,2971091088,327680,293,0.9556313993174061,155.21501706484642,6667,6667,257.8805170059204
N,1006,2971091088,368640,293,0.9453924914675768,152.84982935153585,6667,6667,257.8805170059204
N,1006,2971091088,409600,293,0.9488054607508533,144.0307167235495,6667,6667,257.8805170059204
N,1006,2971091088,450560,293,0.9488054607508533,151.02389078498294,6667,6667,257.8805170059204
N,1006,2971091088,491520,293,0.9249146757679181,158.61433447098977,6667,6667,257.8805170059204
N,1006,2971091088,532480,293,0.9249146757679181,157.22525597269623,6667,6667,257.8805170059204
N,1006,2971091088,573440,293,0.9078498293515358,161.47440273037543,6667,6667,257.8805170059204
N,1006,2971091088,614400,293,0.8907849829351536,168.2935153583618,6667,6667,257.8805170059204
N,1006,2971091088,655360,293,0.8600682593856656,177.20477815699658,6667,6667,257.8805170059204
N,1006,2971091088,696320,293,0.9419795221843004,147.89419795221843,6667,6667,257.8805170059204
N,1006,2971091088,737280,293,0.962457337883959,145.82252559726962,6667,6667,257.8805170059204
N,1006,2971091088,778240,293,0.9590443686006825,149.79863481228668,6667,6667,257.8805170059204
N,1006,2971091088,819200,293,0.9385665529010239,156.21501706484642,6667,6667,257.8805170059204
N,1006,2971091088,860160,293,0.9590443686006825,144.79180887372013,6667,6667,257.8805170059204
N,1006,2971091088,901120,293,0.9180887372013652,158.33105802047783,6667,6667,257.8805170059204
N,1006,2971091088,942080,293,0.9419795221843004,147.26621160409556,6667,6667,257.8805170059204
N,1006,2971091088,983040,293,0.9590443686006825,149.05119453924914,6667,6667,257.8805170059204
N,1006,2971091088,1024000,293,0.9522184300341296,145.69965870307166,6667,6667,257.8805170059204
N,1006,2971091088,1064960,293,0.9556313993174061,152.0170648464164,6667,6667,257.8805170059204
N,1006,2971091088,1105920,293,0.9556313993174061,146.87713310580205,6667,6667,257.8805170059204
N,1006,2971091088,1146880,293,0.9522184300341296,149.12286689419795,6667,6667,257.8805170059204
N,1006,2971091088,1187840,293,0.9522184300341296,152.8839590443686,6667,6667,257.8805170059204
N,1006,2971091088,1228800,293,0.9453924914675768,150.36860068259386,6667,6667,257.8805170059204
N,1007,2949215139,0,293,0.14334470989761092,453.68941979522185,7154,7154,191.43705582618713
N,1007,2949215139,40960,293,0.9385665529010239,156.84982935153585,7154,7154,191.43705582618713
N,1007,2949215139,81920,293,0.9453924914675768,152.17064846416383,7154,7154,191.43705582618713
N,1007,2949215139,122880,293,0.9215017064846417,160.19112627986348,7154,7154,191.43705582618713
N,1007,2949215139,163840,293,0.8976109215017065,164.94880546075086,7154,7154,191.43705582618713
N,1007,2949215139,204800,293,0.8873720136518771,170.88054607508533,7154,7154,191.43705582618713
N,1007,2949215139,245760,293,0.8191126279863481,191.80887372013652,7154,7154,191.43705582618713
N,1007,2949215139,286720,293,0.9590443686006825,146.99317406143345,7154,7154,191.43705582618713
N,1007,2949215139,327680,293,0.9590443686006825,155.10921501706486,7154,7154,191.43705582618713
N,1007,2949215139,368640,293,0.9488054607508533,154.11262798634812,7154,7154,191.43705582618713
N,1007,2949215139,409600,293,0.7610921501706485,211.7372013651877,7154,7154,191.43705582618713
N,1007,2949215139,450560,293,0.7542662116040956,214.13651877133105,7154,7154,191.43705582618713
N,1007,2949215139,491520,293,0.9112627986348123,160.26962457337885,7154,7154,191.43705582618713
N,1007,2949215139,532480,293,0.9419795221843004,151.48122866894198,7154,7154,191.43705582618713
N,1007,2949215139,573440,293,0.9522184300341296,147.4232081911263,7154,7154,191.43705582618713
N,1007,2949215139,614400,293,0.9044368600682594,164.81911262798636,7154,7154,191.43705582618713
N,1007,2949215139,655360,293,0.9180887372013652,154.59044368600684,7154,7154,191.43705582618713
N,1007,2949215139,696320,293,0.9590443686006825,144.77133105802048,7154,7154,191.43705582618713
N,1007,2949215139,737280,293,0.9385665529010239,151.1569965870307,7154,7154,191.43705582618713
N,1007,2949215139,778240,293,0.9556313993174061,149.03754266211604,7154,7154,191.43705582618713
N,1007,2949215139,819200,293,0.9556313993174061,147.419795221843,7154,7154,191.43705582618713
N,1007,2949215139,860160,293,0.9658703071672355,145.5529010238908,7154,7154,191.43705582618713
N,1007,2949215139,901120,293,0.9556313993174061,145.56996587030716,7154,7154,191.43705582618713
N,1007,2949215139,942080,293,0.9522184300341296,143.76450511945393,7154,7154,191.43705582618713
N,1007,2949215139,983040,293,0.9488054607508533,147.46075085324233,7154,7154,191.43705582618713
N,1007,2949215139,1024000,293,0.9556313993174061,147.4061433447099,7154,7154,191.43705582618713
N,1007,2949215139,1064960,293,0.9590443686006825,145.2730375426621,7154,7154,191.43705582618713
N,1007,2949215139,1105920,293,0.9385665529010239,152.13651877133105,7154,7154,191.43705582618713
N,1007,2949215139,1146880,293,0.9419795221843004,148.39931740614335,7154,7154,191.43705582618713
N,1007,2949215139,1187840,293,0.962457337883959,141.91126279863482,7154,7154,191.43705582618713
N,1007,2949215139,1228800,293,0.9590443686006825,144.11262798634812,7154,7154,191.43705582618713
N,1008,4052838048,0,293,0.0,500.0,6891,6891,192.25534892082214
N,1008,4052838048,40960,293,0.9419795221843004,159.77474402730377,6891,6891,192.25534892082214
N,1008,4052838048,81920,293,0.9556313993174061,159.99317406143345,6891,6891,192.25534892082214
N,1008,4052838048,122880,293,0.9453924914675768,155.23549488054607,6891,6891,192.25534892082214
N,1008,4052838048,163840,293,0.9522184300341296,149.8976109215017,6891,6891,192.25534892082214
N,1008,4052838048,204800,293,0.9249146757679181,161.9863481228669,6891,6891,192.25534892082214
N,1008,4052838048,245760,293,0.931740614334471,161.4470989761092,6891,6891,192.25534892082214
N,1008,4052838048,286720,293,0.9556313993174061,157.96587030716722,6891,6891,192.25534892082214
N,1008,4052838048,327680,293,0.9453924914675768,153.08873720136518,6891,6891,192.25534892082214
N,1008,4052838048,368640,293,0.9590443686006825,151.20136518771332,6891,6891,192.25534892082214
