env,sampler,potential_fn,seed,n_episodes,train_return_mean_last20,train_return_mean_all,eval_return_mean,task_param_diversity,n_new_episodes,n_replay_episodes,final_buffer_size,wall_time_sec
cartpole,bo,td_error_l2,2,722,146.45,81.88642659279779,191.42222222222222,0.24146140827554935,375,347,200,89.10465788841248
cartpole,bo,td_error_l2,3,1381,185.8,42.8783490224475,220.9111111111111,0.27774059694018277,697,684,200,479.2656400203705
cartpole,bo,alp,1,824,193.85,71.72694174757281,265.0888888888889,0.2835849236739847,405,419,200,69.77404379844666
cartpole,bo,alp,2,848,181.65,69.97759433962264,237.86666666666667,0.28985428061225066,429,419,200,81.67024087905884
cartpole,bo,alp,3,891,196.35,66.48484848484848,206.11111111111111,0.2913263539220944,458,433,200,95.76395606994629
cartpole,bo,intermediate_difficulty,1,853,182.35,69.45017584994139,191.75555555555556,0.28479519849553175,417,436,200,74.69292187690735
cartpole,bo,intermediate_difficulty,2,860,173.8,68.99418604651163,138.64444444444445,0.2834277910378381,438,422,200,84.87929201126099
cartpole,bo,intermediate_difficulty,3,850,139.6,69.79882352941176,140.42222222222222,0.28296966942967405,436,414,200,83.59710121154785
acrobot,random,none,1,363,-133.5,-162.58677685950414,-105.02222222222223,0.2929224126448587,363,0,200,5.96471905708313
acrobot,random,none,2,315,-141.5,-187.5015873015873,-117.95555555555555,0.29092217613747856,315,0,200,5.991791009902954
acrobot,random,none,3,255,-132.25,-231.98039215686273,-131.42222222222222,0.28969290524489427,255,0,200,6.006787061691284
acrobot,random,pvl_gae,1,381,-103.5,-154.85826771653544,-99.28888888888889,0.29292060580728013,188,193,188,6.042237997055054
acrobot,random,pvl_gae,2,300,-109.1,-196.85666666666665,-115.8,0.28581500029546264,150,150,150,5.987653017044067
acrobot,random,pvl_gae,3,340,-101.3,-173.74117647058824,-105.4888888888889,0.28684637312253963,165,175,165,6.00510311126709
acrobot,random,l1_value_loss,1,297,-183.5,-198.993265993266,-98.22222222222223,0.29512508965458434,144,153,144,6.0404558181762695
acrobot,random,l1_value_loss,2,296,-155.8,-199.4358108108108,-128.11111111111111,0.2958701927386223,147,149,147,6.011910915374756
acrobot,random,l1_value_loss,3,256,-151.05,-231.015625,-119.8,0.27647215770417827,126,130,126,6.039307117462158
acrobot,random,max_mc,1,338,-120.85,-174.69526627218934,-124.44444444444444,0.2989248609747294,166,172,166,6.046441078186035
acrobot,random,max_mc,2,353,-116.25,-167.25212464589234,-104.66666666666667,0.29061428051543237,178,175,178,6.0853190422058105
acrobot,random,max_mc,3,354,-108.6,-166.12146892655366,-105.93333333333334,0.2905387631676565,173,181,173,6.051069974899292
acrobot,random,td_error_l2,1,299,-109.1,-197.42809364548495,-125.37777777777778,0.2783813711830458,144,155,144,6.049266815185547
acrobot,random,td_error_l2,2,325,-122.5,-181.8276923076923,-99.28888888888889,0.2833938198762666,165,160,165,6.064284086227417
acrobot,random,td_error_l2,3,349,-114.65,-168.93982808022923,-144.57777777777778,0.2894997869957909,169,180,169,6.071016073226929
acrobot,random,alp,1,358,-100.7,-164.80446927374302,-107.6,0.289867027342421,174,184,174,6.0727479457855225
acrobot,random,alp,2,322,-143.05,-183.06832298136646,-126.57777777777778,0.2871354913768125,163,159,163,6.119389772415161
acrobot,random,alp,3,345,-115.7,-171.05217391304348,-118.57777777777778,0.2801955994221412,168,177,168,6.063416957855225
acrobot,random,intermediate_difficulty,1,340,-113.7,-173.75,-115.75555555555556,0.27824087480094256,167,173,167,6.076710939407349
acrobot,random,intermediate_difficulty,2,356,-93.65,-165.63202247191012,-100.44444444444444,0.28198321420594075,180,176,180,6.1042640209198
acrobot,random,intermediate_difficulty,3,278,-134.1,-212.00359712230215,-125.4,0.27847510943919174,136,142,136,6.080029010772705
acrobot,halton,none,1,335,-139.95,-176.20298507462687,-118.66666666666667,0.2875322092599446,335,0,200,5.998877048492432
acrobot,halton,none,2,292,-152.4,-202.37671232876713,-115.15555555555555,0.28717532377726357,292,0,200,5.844472885131836
acrobot,halton,none,3,271,-129.6,-217.9409594095941,-124.08888888888889,0.2872579642966205,271,0,200,5.935136556625366
acrobot,halton,pvl_gae,1,316,-119.0,-186.86075949367088,-97.88888888888889,0.28332392340776574,154,162,154,6.047489166259766
acrobot,halton,pvl_gae,2,342,-104.95,-172.593567251462,-116.17777777777778,0.2860834502918231,172,170,172,6.1069440841674805
acrobot,halton,pvl_gae,3,385,-100.65,-153.15324675324675,-130.0,0.2813997613635293,190,195,190,6.105825901031494
acrobot,halton,l1_value_loss,1,331,-144.4,-178.25679758308158,-118.4,0.28246299512334266,164,167,164,6.108550786972046
acrobot,halton,l1_value_loss,2,291,-122.85,-202.02061855670104,-121.26666666666667,0.2857075914015314,145,146,145,6.090527057647705
acrobot,halton,l1_value_loss,3,325,-142.8,-181.51384615384615,-119.33333333333333,0.2822299513136855,159,166,159,6.129072904586792
acrobot,halton,max_mc,1,309,-129.5,-191.2168284789644,-146.11111111111111,0.27857660748147,150,159,150,6.089689016342163
acrobot,halton,max_mc,2,304,-95.45,-194.26973684210526,-102.2,0.28548546415634185,152,152,152,6.055222988128662
acrobot,halton,max_mc,3,355,-101.85,-166.30985915492957,-95.93333333333334,0.2864904795633183,174,181,174,6.108474969863892
acrobot,halton,td_error_l2,1,366,-112.45,-160.9207650273224,-110.2,0.2862360910951508,178,188,178,6.008325099945068
acrobot,halton,td_error_l2,2,388,-143.5,-151.9458762886598,-110.26666666666667,0.2852295760066804,195,193,195,6.060553073883057
acrobot,halton,td_error_l2,3,336,-110.35,-175.60119047619048,-112.06666666666666,0.2850468585501234,163,173,163,6.068355083465576
acrobot,halton,alp,1,338,-124.8,-174.75739644970415,-115.33333333333333,0.28052016900858173,166,172,166,6.041798114776611
acrobot,halton,alp,2,325,-97.75,-181.56615384615384,-102.64444444444445,0.28794069765755503,165,160,165,6.085693120956421
acrobot,halton,alp,3,309,-111.9,-190.97411003236246,-116.68888888888888,0.2779975786858854,151,158,151,6.102745294570923
acrobot,halton,intermediate_difficulty,1,309,-106.6,-191.18446601941747,-94.08888888888889,0.282309766068566,150,159,150,6.099096775054932
acrobot,halton,intermediate_difficulty,2,320,-97.55,-184.671875,-97.77777777777777,0.2850209251884665,163,157,163,6.11615514755249
acrobot,halton,intermediate_difficulty,3,338,-128.9,-174.74556213017752,-120.08888888888889,0.2861682646678671,164,174,164,6.12933611869812
