arm,seed,step,E0/n,E0/success,E0/mean_steps,E1v/n,E1v/success,E1v/mean_steps,E2v/n,E2v/success,E2v/mean_steps,E3v/n,E3v/success,E3v/mean_steps,E4v/n,E4v/success,E4v/mean_steps,E6/n,E6/success,E6/mean_steps,E7/n,E7/success,E7/mean_steps
A,12,122880,282,0.1276595744680851,293.8936170212766,100,0.0,115.03,100,0.0,126.33,100,0.0,119.63,50,0.0,114.52,250,0.0,121.808,100,0.07,269.31
A,12,184320,282,0.41843971631205673,425.2340425531915,100,0.04,134.11,100,0.15,201.7,100,0.12,157.18,50,0.12,183.64,250,0.088,155.944,100,0.36,406.16
A,12,245760,282,0.1595744680851064,335.2269503546099,100,0.0,79.36,100,0.0,89.32,100,0.0,68.64,50,0.0,65.26,250,0.004,78.224,100,0.16,321.88
A,12,307200,282,0.06028368794326241,249.70921985815602,100,0.01,149.26,100,0.0,139.67,100,0.0,132.31,50,0.0,114.0,250,0.004,142.112,100,0.09,245.9
A,12,368640,282,0.03900709219858156,296.1241134751773,100,0.0,102.79,100,0.02,142.68,100,0.01,104.39,50,0.02,121.34,250,0.012,114.584,100,0.01,282.6
A,12,430080,282,0.10283687943262411,295.36879432624113,100,0.04,177.97,100,0.0,147.78,100,0.0,151.1,50,0.02,131.96,250,0.016,155.324,100,0.11,287.45
A,12,491520,282,0.16312056737588654,333.8510638297872,100,0.04,134.84,100,0.03,158.75,100,0.05,147.12,50,0.02,125.1,250,0.048,148.284,100,0.18,318.36
A,12,552960,282,0.9148936170212766,490.0673758865248,100,0.72,412.44,100,0.83,446.06,100,0.71,414.48,50,0.44,315.5,250,0.732,422.452,100,0.92,494.39
A,12,614400,282,0.9716312056737588,492.4432624113475,100,0.04,79.54,100,0.14,120.93,100,0.08,92.79,50,0.1,97.36,250,0.072,92.148,100,1.0,500.0
A,13,61440,282,0.1453900709219858,303.4822695035461,100,0.0,147.57,100,0.0,140.89,100,0.0,131.71,50,0.0,109.4,250,0.0,139.812,100,0.16,290.24
A,13,122880,282,0.4716312056737589,422.52836879432624,100,0.02,220.92,100,0.0,213.45,100,0.0,197.07,50,0.0,166.3,250,0.004,211.488,100,0.44,409.04
A,13,184320,282,0.23404255319148937,358.7659574468085,100,0.0,147.62,100,0.0,147.72,100,0.0,135.33,50,0.0,118.38,250,0.0,141.428,100,0.22,356.1
A,13,245760,282,0.2765957446808511,371.0744680851064,100,0.0,146.84,100,0.0,149.65,100,0.0,136.99,50,0.0,120.7,250,0.0,142.764,100,0.31,372.3
A,13,307200,282,0.6914893617021277,456.031914893617,100,0.0,183.98,100,0.0,178.31,100,0.0,158.48,50,0.0,138.9,250,0.0,171.656,100,0.7,464.5
A,13,368640,282,0.9680851063829787,491.63120567375887,100,0.56,324.11,100,0.56,323.8,100,0.4,257.29,50,0.12,137.54,250,0.444,278.644,100,0.95,486.35
A,13,430080,282,0.9964539007092199,498.48936170212767,100,0.87,448.07,100,0.92,467.49,100,0.89,454.25,50,0.84,432.88,250,0.908,463.588,100,1.0,500.0
A,13,491520,282,0.9858156028368794,496.61347517730496,100,0.79,414.55,100,0.82,426.63,100,0.7,376.13,50,0.42,257.78,250,0.776,409.772,100,1.0,500.0
