arm,seed,run_seed,learning_rate,step,E0/n,E0/success,E0/mean_steps,E1/n,E1/success,E1/mean_steps,E1b/n,E1b/success,E1b/mean_steps,E2/n,E2/success,E2/mean_steps,E3a/n,E3a/success,E3a/mean_steps,E3b/n,E3b/success,E3b/mean_steps,E4/n,E4/success,E4/mean_steps,E5/n,E5/success,E5/mean_steps,n_episodes,n_new,wall_time_sec
N,2,359346417,0.0003,409600,282,0.8865248226950354,479.25531914893617,138,0.9782608695652174,495.4782608695652,93,0.989247311827957,495.741935483871,95,0.968421052631579,490.9578947368421,96,0.9583333333333334,493.7291666666667,92,0.9456521739130435,491.2608695652174,99,0.8585858585858586,465.020202020202,272,0.9227941176470589,485.8235294117647,4207,4207,276.60360503196716
N,2,359346417,0.0003,430080,282,0.9432624113475178,486.4078014184397,138,0.9855072463768116,496.84057971014494,93,0.978494623655914,491.741935483871,95,0.9578947368421052,490.4421052631579,96,0.9895833333333334,495.7708333333333,92,0.967391304347826,490.2826086956522,99,0.9191919191919192,475.45454545454544,272,0.9154411764705882,480.43382352941177,4207,4207,276.60360503196716
N,2,359346417,0.0003,450560,282,0.2907801418439716,403.85460992907804,138,0.5942028985507246,445.268115942029,93,0.8494623655913979,485.10752688172045,95,0.4631578947368421,443.09473684210525,96,0.46875,441.625,92,0.3695652173913043,419.54347826086956,99,0.25252525252525254,387.1212121212121,272,0.6397058823529411,454.9227941176471,4207,4207,276.60360503196716
N,2,359346417,0.0003,471040,282,0.03546099290780142,261.3014184397163,138,0.0,262.6666666666667,93,0.0,264.39784946236557,95,0.0,261.3578947368421,96,0.0,258.4583333333333,92,0.021739130434782608,262.5652173913044,99,0.020202020202020204,257.74747474747477,272,0.11397058823529412,299.02941176470586,4207,4207,276.60360503196716
N,2,359346417,0.0003,491520,282,0.624113475177305,458.65248226950354,138,0.8695652173913043,482.3985507246377,93,0.978494623655914,498.9032258064516,95,0.8526315789473684,487.4315789473684,96,0.8020833333333334,486.4375,92,0.6847826086956522,460.6195652173913,99,0.6161616161616161,464.4646464646465,272,0.7757352941176471,466.09558823529414,4207,4207,276.60360503196716
N,2,359346417,0.0003,512000,282,0.8971631205673759,486.7588652482269,138,0.9710144927536232,491.42753623188406,93,0.967741935483871,485.86021505376345,95,0.9789473684210527,495.0842105263158,96,1.0,500.0,92,0.9347826086956522,493.5978260869565,99,0.9292929292929293,493.5151515151515,272,0.8676470588235294,479.0257352941176,4207,4207,276.60360503196716
N,2,359346417,0.0003,532480,282,0.9893617021276596,495.3156028368794,138,1.0,500.0,93,0.946236559139785,477.02150537634407,95,1.0,500.0,96,1.0,500.0,92,0.9891304347826086,495.2173913043478,99,0.9797979797979798,490.9191919191919,272,0.9522058823529411,484.8860294117647,4207,4207,276.60360503196716
N,2,359346417,0.0003,552960,282,0.9822695035460993,496.0425531914894,138,1.0,500.0,93,1.0,500.0,95,1.0,500.0,96,1.0,500.0,92,0.9782608695652174,493.9347826086956,99,1.0,500.0,272,0.9816176470588235,495.75367647058823,4207,4207,276.60360503196716
N,2,359346417,0.0003,573440,282,0.8617021276595744,482.65248226950354,138,0.927536231884058,491.8840579710145,93,0.8602150537634409,482.13978494623655,95,0.8736842105263158,491.2,96,0.8541666666666666,483.6041666666667,92,0.9021739130434783,487.1304347826087,99,0.7070707070707071,456.7979797979798,272,0.8345588235294118,473.97058823529414,4207,4207,276.60360503196716
N,2,359346417,0.0003,593920,282,0.7411347517730497,463.98936170212767,138,0.8768115942028986,487.07246376811594,93,0.946236559139785,493.2258064516129,95,0.8631578947368421,481.9263157894737,96,0.84375,479.7083333333333,92,0.8152173913043478,471.54347826086956,99,0.6767676767676768,442.6161616161616,272,0.8823529411764706,483.3602941176471,4207,4207,276.60360503196716
N,2,359346417,0.0003,614400,282,0.9893617021276596,495.28723404255317,138,0.9927536231884058,497.3333333333333,93,0.956989247311828,481.19354838709677,95,1.0,500.0,96,1.0,500.0,92,0.9891304347826086,495.2717391304348,99,0.9797979797979798,493.92929292929296,272,0.9705882352941176,488.625,4207,4207,276.60360503196716
