arm,seed,run_seed,learning_rate,step,E0/n,E0/success,E0/mean_steps,n_episodes,n_new,wall_time_sec
B_mab,1,4289564374,0.0003,368640,282,0.975177304964539,496.9964539007093,2484,1271,106.82943296432497
B_mab,1,4289564374,0.0003,389120,282,0.9929078014184396,497.822695035461,2484,1271,106.82943296432497
B_mab,1,4289564374,0.0003,409600,282,0.950354609929078,494.4326241134752,2484,1271,106.82943296432497
B_mab,1,4289564374,0.0003,430080,282,0.9893617021276596,496.2801418439717,2484,1271,106.82943296432497
B_mab,1,4289564374,0.0003,450560,282,0.9609929078014184,494.37943262411346,2484,1271,106.82943296432497
B_mab,1,4289564374,0.0003,471040,282,0.9716312056737588,494.2198581560283,2484,1271,106.82943296432497
B_mab,1,4289564374,0.0003,491520,282,0.9609929078014184,491.3014184397163,2484,1271,106.82943296432497
B_mab,1,4289564374,0.0003,512000,282,0.4113475177304964,386.968085106383,2484,1271,106.82943296432497
B_mab,1,4289564374,0.0003,532480,282,0.9822695035460992,496.59574468085106,2484,1271,106.82943296432497
B_mab,1,4289564374,0.0003,552960,282,0.946808510638298,475.6241134751773,2484,1271,106.82943296432497
B_mab,1,4289564374,0.0003,573440,282,0.99645390070922,498.3900709219858,2484,1271,106.82943296432497
B_mab,1,4289564374,0.0003,593920,282,0.9893617021276596,495.2801418439717,2484,1271,106.82943296432497
B_mab,1,4289564374,0.0003,614400,282,0.9929078014184396,497.42198581560285,2484,1271,106.82943296432497
S_ce,1,3831076762,0.0003,0,282,0.0,76.41489361702128,2241,2241,107.20392179489136
S_ce,1,3831076762,0.0003,20480,282,0.0,78.1063829787234,2241,2241,107.20392179489136
S_ce,1,3831076762,0.0003,40960,282,0.0567375886524822,230.9219858156028,2241,2241,107.20392179489136
S_ce,1,3831076762,0.0003,61440,282,0.1170212765957446,266.0851063829787,2241,2241,107.20392179489136
S_ce,1,3831076762,0.0003,81920,282,0.9078014184397164,472.3404255319149,2241,2241,107.20392179489136
S_ce,1,3831076762,0.0003,102400,282,0.0992907801418439,224.24113475177305,2241,2241,107.20392179489136
S_ce,1,3831076762,0.0003,122880,282,0.0531914893617021,214.6631205673759,2241,2241,107.20392179489136
S_ce,1,3831076762,0.0003,143360,282,0.0496453900709219,212.53191489361703,2241,2241,107.20392179489136
S_ce,1,3831076762,0.0003,163840,282,0.3687943262411347,390.06382978723406,2241,2241,107.20392179489136
S_ce,1,3831076762,0.0003,184320,282,0.2978723404255319,316.76241134751774,2241,2241,107.20392179489136
S_ce,1,3831076762,0.0003,204800,282,0.8829787234042553,483.9468085106383,2241,2241,107.20392179489136
S_ce,1,3831076762,0.0003,225280,282,0.0460992907801418,199.67375886524823,2241,2241,107.20392179489136
S_ce,1,3831076762,0.0003,245760,282,0.2198581560283688,320.0851063829787,2241,2241,107.20392179489136
S_ce,1,3831076762,0.0003,266240,282,0.6382978723404256,436.25531914893617,2241,2241,107.20392179489136
S_ce,1,3831076762,0.0003,286720,282,0.9858156028368794,496.8156028368794,2241,2241,107.20392179489136
S_ce,1,3831076762,0.0003,307200,282,0.9432624113475178,490.51063829787233,2241,2241,107.20392179489136
S_ce,1,3831076762,0.0003,327680,282,0.6276595744680851,445.18794326241135,2241,2241,107.20392179489136
S_ce,1,3831076762,0.0003,348160,282,0.99645390070922,499.9432624113475,2241,2241,107.20392179489136
S_ce,1,3831076762,0.0003,368640,282,0.9929078014184396,497.0035460992907,2241,2241,107.20392179489136
S_ce,1,3831076762,0.0003,389120,282,0.9787234042553192,494.3581560283688,2241,2241,107.20392179489136
S_ce,1,3831076762,0.0003,409600,282,0.99645390070922,498.4007092198582,2241,2241,107.20392179489136
S_ce,1,3831076762,0.0003,430080,282,0.9858156028368794,495.2730496453901,2241,2241,107.20392179489136
S_ce,1,3831076762,0.0003,450560,282,0.9574468085106383,481.9326241134752,2241,2241,107.20392179489136
S_ce,1,3831076762,0.0003,471040,282,0.9609929078014184,483.8156028368794,2241,2241,107.20392179489136
S_ce,1,3831076762,0.0003,491520,282,0.9893617021276596,495.2801418439717,2241,2241,107.20392179489136
S_ce,1,3831076762,0.0003,512000,282,0.9645390070921984,483.70567375886526,2241,2241,107.20392179489136
S_ce,1,3831076762,0.0003,532480,282,0.9432624113475178,476.0035460992907,2241,2241,107.20392179489136
S_ce,1,3831076762,0.0003,552960,282,0.9361702127659576,472.5035460992907,2241,2241,107.20392179489136
