arm,seed,learning_rate,step,E0/n_learnable,E0/success,E0/success_all,E0/mean_steps,E1/n_learnable,E1/success,E1/success_all,E1/mean_steps,E1b/n_learnable,E1b/success,E1b/success_all,E1b/mean_steps,E2/n_learnable,E2/success,E2/success_all,E2/mean_steps,E3a/n_learnable,E3a/success,E3a/success_all,E3a/mean_steps,E3b/n_learnable,E3b/success,E3b/success_all,E3b/mean_steps,E4/n_learnable,E4/success,E4/success_all,E4/mean_steps,E5/n_learnable,E5/success,E5/success_all,E5/mean_steps,n_episodes,n_new,wall_time_sec
N,3,3e-05,409600,282,0.21631205673758866,0.20333333333333334,308.7269503546099,138,0.17391304347826086,0.16,312.5507246376812,93,0.15053763440860216,0.14,306.1290322580645,95,0.12631578947368421,0.12,292.85263157894735,96,0.19791666666666666,0.19,310.1875,92,0.21739130434782608,0.2,309.0217391304348,99,0.09090909090909091,0.09,245.67676767676767,272,0.21691176470588236,0.184375,335.00735294117646,7082,7082,85.22783899307251
N,2,3e-05,0,282,0.02127659574468085,0.02,186.11702127659575,138,0.021739130434782608,0.02,188.3840579710145,93,0.03225806451612903,0.03,189.53763440860214,95,0.0,0.0,161.0842105263158,96,0.0,0.0,29.322916666666668,92,0.010869565217391304,0.01,177.1413043478261,99,0.020202020202020204,0.02,127.86868686868686,272,0.007352941176470588,0.00625,135.37867647058823,7111,7111,85.41649889945984
N,2,3e-05,20480,282,0.01773049645390071,0.016666666666666666,68.14893617021276,138,0.0,0.0,56.71739130434783,93,0.0,0.0,59.18279569892473,95,0.0,0.0,55.85263157894737,96,0.041666666666666664,0.04,81.45833333333333,92,0.010869565217391304,0.01,66.70652173913044,99,0.0,0.0,47.64646464646464,272,0.058823529411764705,0.05,99.28676470588235,7111,7111,85.41649889945984
N,2,3e-05,40960,282,0.01773049645390071,0.016666666666666666,68.68439716312056,138,0.0,0.0,58.02173913043478,93,0.0,0.0,61.924731182795696,95,0.0,0.0,58.536842105263155,96,0.041666666666666664,0.04,81.60416666666667,92,0.010869565217391304,0.01,67.19565217391305,99,0.0,0.0,48.94949494949495,272,0.0661764705882353,0.05625,99.28676470588235,7111,7111,85.41649889945984
N,2,3e-05,61440,282,0.01773049645390071,0.016666666666666666,75.66312056737588,138,0.0,0.0,64.42753623188406,93,0.0,0.0,67.26881720430107,95,0.0,0.0,65.26315789473684,96,0.041666666666666664,0.04,87.38541666666667,92,0.010869565217391304,0.01,75.41304347826087,99,0.0,0.0,52.303030303030305,272,0.06985294117647059,0.059375,106.57352941176471,7111,7111,85.41649889945984
N,2,3e-05,81920,282,0.02127659574468085,0.02,79.81914893617021,138,0.0,0.0,70.28260869565217,93,0.010752688172043012,0.01,76.58064516129032,95,0.010526315789473684,0.01,71.03157894736842,96,0.0625,0.06,101.11458333333333,92,0.03260869565217391,0.03,87.03260869565217,99,0.0,0.0,55.5959595959596,272,0.07352941176470588,0.0625,114.65073529411765,7111,7111,85.41649889945984
N,2,3e-05,102400,282,0.024822695035460994,0.023333333333333334,87.4645390070922,138,0.0,0.0,75.71014492753623,93,0.010752688172043012,0.01,86.38709677419355,95,0.010526315789473684,0.01,77.25263157894737,96,0.07291666666666667,0.07,110.79166666666667,92,0.03260869565217391,0.03,92.08695652173913,99,0.0,0.0,61.45454545454545,272,0.07720588235294118,0.065625,121.16911764705883,7111,7111,85.41649889945984
N,2,3e-05,122880,282,0.024822695035460994,0.023333333333333334,95.19858156028369,138,0.0,0.0,83.57246376811594,93,0.021505376344086023,0.02,98.54838709677419,95,0.021052631578947368,0.02,87.16842105263157,96,0.09375,0.09,125.875,92,0.043478260869565216,0.04,102.6195652173913,99,0.0,0.0,67.55555555555556,272,0.08088235294117647,0.06875,128.57720588235293,7111,7111,85.41649889945984
N,2,3e-05,143360,282,0.04964539007092199,0.04666666666666667,112.27304964539007,138,0.0,0.0,98.94202898550725,93,0.0,0.0,104.31182795698925,95,0.010526315789473684,0.01,98.58947368421053,96,0.07291666666666667,0.07,134.5625,92,0.05434782608695652,0.05,120.15217391304348,99,0.010101010101010102,0.01,78.92929292929293,272,0.08823529411764706,0.075,140.37132352941177,7111,7111,85.41649889945984
N,2,3e-05,163840,282,0.07092198581560284,0.06666666666666667,166.4822695035461,138,0.036231884057971016,0.03333333333333333,157.15217391304347,93,0.010752688172043012,0.01,154.83870967741936,95,0.031578947368421054,0.03,146.7157894736842,96,0.13541666666666666,0.13,191.82291666666666,92,0.10869565217391304,0.1,177.70652173913044,99,0.020202020202020204,0.02,121.91919191919192,272,0.11029411764705882,0.09375,183.97426470588235,7111,7111,85.41649889945984
N,2,3e-05,184320,282,0.36879432624113473,0.3466666666666667,281.89716312056737,138,0.39855072463768115,0.36666666666666664,294.2391304347826,93,0.44086021505376344,0.41,303.93548387096774,95,0.3263157894736842,0.31,267.09473684210525,96,0.40625,0.39,310.4583333333333,92,0.40217391304347827,0.37,286.9347826086956,99,0.2222222222222222,0.22,206.85858585858585,272,0.3897058823529412,0.33125,307.0772058823529,7111,7111,85.41649889945984
N,2,3e-05,204800,282,0.46808510638297873,0.44,368.5921985815603,138,0.5362318840579711,0.49333333333333335,391.69565217391306,93,0.5483870967741935,0.51,393.21505376344084,95,0.37894736842105264,0.36,359.36842105263156,96,0.5416666666666666,0.52,393.6354166666667,92,0.4782608695652174,0.44,376.82608695652175,99,0.2828282828282828,0.28,299.5151515151515,272,0.5514705882352942,0.46875,376.1617647058824,7111,7111,85.41649889945984
N,2,3e-05,225280,282,0.4148936170212766,0.39,382.8156028368794,138,0.463768115942029,0.4266666666666667,405.6666666666667,93,0.45161290322580644,0.42,407.6666666666667,95,0.3157894736842105,0.3,382.5473684210526,96,0.5,0.48,412.3020833333333,92,0.42391304347826086,0.39,390.5,99,0.26262626262626265,0.26,319.4343434343434,272,0.5698529411764706,0.484375,390.34558823529414,7111,7111,85.41649889945984
