arm,seed,final_random,auc_random,final_steps_random,auc_steps_random,final_verifai,auc_verifai,final_steps_verifai,auc_steps_verifai
A,42,0.9533560864618885,0.9260523321956768,149.160409556314,159.20250284414107,0.08850000000000001,0.07813888888888888,489.82666666666665,491.0251388888889
A,43,0.9544937428896473,0.9196056124383768,150.40386803185436,166.05991657186198,0.09949999999999999,0.06791666666666668,488.741,492.33341666666666
A,44,0.9453924914675768,0.9294653014789533,156.44027303754265,157.29977246871445,0.056999999999999995,0.05041666666666667,493.11366666666663,494.1744444444445
A,45,0.8953356086461888,0.8824421691315889,165.36063708759954,170.34433067880167,0.06349999999999999,0.06291666666666666,492.8478333333333,492.6082777777778
A,46,0.9397042093287826,0.9252938945771709,154.05574516496017,159.7083807356845,0.081,0.07552777777777778,490.70416666666665,491.51913888888885
A,47,0.9465301478953356,0.9421691315889268,151.26052332195675,155.38149412210845,0.10000000000000002,0.08411111111111111,488.3921666666667,490.4238888888889
A,48,0.949943117178612,0.9300341296928326,147.4061433447099,156.52957906712174,0.09033333333333332,0.07833333333333334,489.9996666666666,491.22069444444446
A,49,0.924914675767918,0.7692453545695866,158.55858930602957,212.31607887751233,0.07283333333333335,0.04736111111111111,491.6813333333334,494.58
A,50,0.9374288964732651,0.9300341296928328,152.85210466439133,159.0500568828214,0.06816666666666667,0.07375,492.251,491.69169444444447
A,51,0.943117178612059,0.9383769434963974,154.4254835039818,154.73682214637847,0.07816666666666666,0.08552777777777777,491.0128333333334,490.13455555555555
A,52,0.9294653014789533,0.8593098217671596,157.6632536973834,185.20117557830866,0.08333333333333333,0.05291666666666667,490.81916666666666,494.2041944444444
A,53,0.944254835039818,0.928138035646568,151.05346985210466,158.31418278346607,0.10033333333333334,0.08208333333333334,488.1578333333334,490.4795833333333
A,54,0.9135381114903299,0.891733029958286,161.08987485779295,170.22165339400834,0.06433333333333334,0.056527777777777774,492.17350000000005,493.2462777777778
A,55,0.9431171786120592,0.9209328782707623,154.08646188850966,161.50094804702314,0.07183333333333335,0.06469444444444444,491.64466666666664,492.66502777777777
A,56,0.9180887372013652,0.9306029579067122,159.4061433447099,159.6405005688282,0.06066666666666667,0.07922222222222221,492.953,490.9494444444444
A,57,0.9408418657565415,0.9169510807736061,153.53128555176337,161.38926810769811,0.06233333333333333,0.06272222222222222,493.22166666666664,492.9513611111111
A,58,0.949943117178612,0.8879408418657564,148.12514220705347,168.15680697762608,0.10416666666666667,0.0626388888888889,487.8906666666667,492.51755555555565
A,59,0.9476678043230944,0.8397800530906332,150.13310580204777,186.33826317785358,0.09500000000000001,0.05388888888888888,489.3795,493.80816666666664
A,60,0.9476678043230944,0.9385665529010239,152.58930602957906,154.8266970041714,0.08983333333333333,0.08144444444444444,490.094,490.6950277777778
A,61,0.9340159271899887,0.9222601441031474,150.27417519908988,158.24156238149413,0.06766666666666667,0.062000000000000006,492.56316666666663,493.0221111111111
A,62,0.8919226393629125,0.8725824800910125,163.05915813424346,172.62912400455062,0.056,0.05844444444444444,493.4058333333333,493.1369444444444
A,63,0.901023890784983,0.9334470989761093,164.66439135381117,155.24383769434965,0.051833333333333335,0.07033333333333333,494.19216666666665,491.81961111111116
A,64,0.926052332195677,0.9315510049298446,155.21843003412968,156.60409556313994,0.07166666666666667,0.07750000000000001,491.73150000000004,491.13366666666667
A,65,0.9249146757679182,0.931361395525218,158.50853242320818,159.27057262040196,0.06716666666666667,0.07527777777777779,491.50049999999993,491.32800000000003
A,66,0.9465301478953355,0.9046264694728859,153.0420932878271,164.438566552901,0.08933333333333333,0.06974999999999999,489.33099999999996,491.91980555555557
A,67,0.9340159271899885,0.8814941221084566,151.9556313993174,171.22411831626846,0.08033333333333333,0.05391666666666666,489.96033333333327,493.63325000000003
A,68,0.89419795221843,0.9163822525597268,164.34584755403867,159.5987864998104,0.06216666666666667,0.06661111111111111,492.6175,492.42
A,69,0.8418657565415245,0.8951459992415622,181.94539249146757,165.53868031854378,0.04783333333333334,0.06408333333333334,494.43516666666665,492.63030555555554
