arm,seed,run_seed,step,random/n,random/success,random/mean_steps,verifai/n,verifai/success,verifai/mean_steps,n_episodes,n_new,wall_time_sec
S_ce,1,3831076762,256000,298,0.6711409395973155,90.48657718120805,2000,0.0,200.0,8234,8234,92.49008321762085
S_ce,1,3831076762,266240,298,0.6711409395973155,90.48657718120805,2000,0.0,200.0,8234,8234,92.49008321762085
S_ce,1,3831076762,276480,298,0.6711409395973155,90.48657718120805,2000,0.0,200.0,8234,8234,92.49008321762085
S_ce,1,3831076762,286720,298,0.6711409395973155,90.48657718120805,2000,0.0,200.0,8234,8234,92.49008321762085
S_ce,1,3831076762,296960,298,0.6711409395973155,90.48657718120805,2000,0.0,200.0,8234,8234,92.49008321762085
S_ce,1,3831076762,307200,298,0.6711409395973155,90.48657718120805,2000,0.0,200.0,8234,8234,92.49008321762085
S_mab,1,3418838027,0,298,0.0,200.0,2000,0.0,200.0,7105,7105,93.36520218849182
S_mab,1,3418838027,10240,298,0.0,200.0,2000,0.0,200.0,7105,7105,93.36520218849182
S_mab,1,3418838027,20480,298,0.0,200.0,2000,0.0,200.0,7105,7105,93.36520218849182
S_mab,1,3418838027,30720,298,0.0,200.0,2000,0.0,200.0,7105,7105,93.36520218849182
S_mab,1,3418838027,40960,298,0.0,200.0,2000,0.0,200.0,7105,7105,93.36520218849182
S_mab,1,3418838027,51200,298,0.0,200.0,2000,0.0,200.0,7105,7105,93.36520218849182
S_mab,1,3418838027,61440,298,0.15100671140939598,183.19463087248323,2000,0.0,200.0,7105,7105,93.36520218849182
S_mab,1,3418838027,71680,298,0.0,200.0,2000,0.0,200.0,7105,7105,93.36520218849182
S_mab,1,3418838027,81920,298,0.4798657718120805,126.09060402684564,2000,0.0,200.0,7105,7105,93.36520218849182
S_mab,1,3418838027,92160,298,0.5134228187919463,127.63758389261746,2000,0.0,200.0,7105,7105,93.36520218849182
S_mab,1,3418838027,102400,298,0.587248322147651,103.14429530201342,2000,0.0,200.0,7105,7105,93.36520218849182
S_mab,1,3418838027,112640,298,0.6711409395973155,90.48657718120805,2000,0.0,200.0,7105,7105,93.36520218849182
S_mab,1,3418838027,122880,298,0.6711409395973155,90.48657718120805,2000,0.0,200.0,7105,7105,93.36520218849182
S_mab,1,3418838027,133120,298,0.6711409395973155,90.48657718120805,2000,0.0,200.0,7105,7105,93.36520218849182
S_mab,1,3418838027,143360,298,0.6711409395973155,90.48657718120805,2000,0.0,200.0,7105,7105,93.36520218849182
S_mab,1,3418838027,153600,298,0.6711409395973155,90.48657718120805,2000,0.0,200.0,7105,7105,93.36520218849182
S_mab,1,3418838027,163840,298,0.6711409395973155,90.48657718120805,2000,0.0,200.0,7105,7105,93.36520218849182
S_mab,1,3418838027,174080,298,0.6711409395973155,90.48657718120805,2000,0.0,200.0,7105,7105,93.36520218849182
S_mab,1,3418838027,184320,298,0.6711409395973155,90.48657718120805,2000,0.0,200.0,7105,7105,93.36520218849182
S_mab,1,3418838027,194560,298,0.6711409395973155,90.48657718120805,2000,0.0,200.0,7105,7105,93.36520218849182
S_mab,1,3418838027,204800,298,0.6711409395973155,90.48657718120805,2000,0.0,200.0,7105,7105,93.36520218849182
S_mab,1,3418838027,215040,298,0.6711409395973155,90.48657718120805,2000,0.0,200.0,7105,7105,93.36520218849182
S_mab,1,3418838027,225280,298,0.6711409395973155,90.48657718120805,2000,0.0,200.0,7105,7105,93.36520218849182
S_mab,1,3418838027,235520,298,0.6711409395973155,90.48657718120805,2000,0.0,200.0,7105,7105,93.36520218849182
S_mab,1,3418838027,245760,298,0.6711409395973155,90.48657718120805,2000,0.0,200.0,7105,7105,93.36520218849182
S_mab,1,3418838027,256000,298,0.6711409395973155,90.48657718120805,2000,0.0,200.0,7105,7105,93.36520218849182
S_mab,1,3418838027,266240,298,0.6711409395973155,90.48657718120805,2000,0.0,200.0,7105,7105,93.36520218849182
S_mab,1,3418838027,276480,298,0.6711409395973155,90.48657718120805,2000,0.0,200.0,7105,7105,93.36520218849182
