comparison,metric,diff,ci_lo,ci_hi,p,q_bh,p_holm
S_sa vs N,auc_E3a,-0.005597222222222142,-0.03174314236111102,0.01941553819444453,0.6692203481493495,0.9941395639363009,1.0
S_sa vs N,auc_E3b,-0.0052536231884058315,-0.03026458333333345,0.018581476449275342,0.6738085466013796,0.9941395639363009,1.0
S_mab vs N,final_E4,-0.007777777777777883,-0.044276094276094136,0.028249158249158413,0.6761179155125538,0.9941395639363009,1.0
S_mab vs N,final_steps_E6,5.07658602150542,-19.580151209677457,29.38594052419356,0.6796440388656537,0.9941395639363009,1.0
A vs N,auc_E1b,0.004955197132616496,-0.01810609318996411,0.028785349462365696,0.683667012437395,0.9941395639363009,1.0
S_mab vs N,final_steps_E2,1.6552280701755535,-6.555795614035014,10.059471929824598,0.6963813330024103,0.9941395639363009,1.0
A vs N,final_E1b,-0.006559139784946266,-0.03813709677419375,0.02620071684587811,0.6967214648499005,0.9941395639363009,1.0
A vs N,final_E3a,-0.006215277777777861,-0.039861979166666575,0.02812499999999974,0.7256712437257856,0.9941395639363009,1.0
S_mab vs N,final_E6,0.008709677419354966,-0.04196303763440863,0.058414986559139875,0.730932223456779,0.9941395639363009,1.0
S_mab vs N,auc_E2,0.004670175438596491,-0.022536929824561326,0.030365043859649183,0.7320710019900336,0.9941395639363009,1.0
A vs N,final_E2,-0.005649122807017348,-0.038282456140350835,0.027860526315789683,0.7458580107219231,0.9941395639363009,1.0
A vs N,final_E1,-0.0055072463768113256,-0.037175120772946546,0.027415458937198104,0.7466223959584671,0.9941395639363009,1.0
S_sa vs N,final_steps_E6,3.8419086021505393,-19.625084677419327,26.699436827956887,0.7470523400013385,0.9941395639363009,1.0
S_sa vs N,auc_E1,-0.004155797101449421,-0.03050419685990341,0.02096023550724632,0.7526787981849439,0.9941395639363009,1.0
A vs N,final_E0,-0.005224586288416266,-0.03644208037825048,0.026927009456265066,0.7554856740260221,0.9941395639363009,1.0
A vs N,auc_E1,0.003667874396135251,-0.019706793478260782,0.02781307367149756,0.7665006408475384,0.9941395639363009,1.0
A vs N,auc_E6,0.0026693548387097255,-0.014913541666666691,0.020289146505376294,0.7681608122940797,0.9941395639363009,1.0
