id,a,b,metric,n_a,n_b,mean_a,mean_b,mean_diff,sd_a,sd_b,sd_diff,t,p,ci_lo,ci_hi,detectable,p_adj
C2_mab,S_mab,N,final_E2v,100,100,0.3049,0.3111,-0.006199999999999983,0.21106722297656563,0.1866799267777026,0.028177786938787027,-0.22003147420586167,0.8260767142362576,-0.062370000000000016,0.048500833333333306,0.12510237786306425,0.9105545408203706
C2_mab,S_mab,N,final_E3v,100,100,0.28029999999999994,0.2822,-0.0019000000000000683,0.2010238077150016,0.1721046976001147,0.026463294995949554,-0.07179755961194101,0.9428372048941223,-0.05376750000000002,0.04986666666666667,0.11749045932091681,0.9749620912243359
C2_mab,S_mab,N,final_E4v,100,100,0.26360000000000006,0.26286666666666664,0.0007333333333334191,0.18730870825605572,0.15271359165916137,0.024167331930933806,0.03034399227143332,0.9758245149660651,-0.04633500000000006,0.04833333333333331,0.10729695336733665,0.9821201569981042
C2_mab,S_mab,N,auc_E1v,100,100,0.25283888888888884,0.24303888888888892,0.00979999999999992,0.1160990922471019,0.10657474922778008,0.015759814844586623,0.621834716755327,0.5347711115345031,-0.021239583333333364,0.04017777777777781,0.06996966497129302,0.9033483892853978
C2_mab,S_mab,N,auc_E2v,100,100,0.26273888888888886,0.2588944444444444,0.003844444444444428,0.11874565921011404,0.11044247455489534,0.01621668022964418,0.23706729059235945,0.8128509690588612,-0.028400972222222286,0.03500694444444444,0.07199803384774835,0.9105545408203706
C2_mab,S_mab,N,auc_E3v,100,100,0.2383222222222222,0.2338388888888889,0.004483333333333311,0.11174792203688193,0.1034982963027569,0.015231380573386744,0.29434845460869663,0.7688018127666812,-0.025816805555555596,0.033895833333333396,0.06762354800990591,0.9033483892853978
C2_mab,S_mab,N,auc_E4v,100,100,0.21045555555555556,0.21374444444444446,-0.0032888888888888967,0.10011380168807874,0.08954787364044652,0.013431900447057122,-0.24485655636388218,0.8068242022537656,-0.029945833333333383,0.02302250000000005,0.05963430303441482,0.9105545408203706
C2_sa,S_sa,N,final_E7,100,100,0.8878333333333334,0.9184666666666667,-0.03063333333333329,0.1627729512850144,0.13475789489187726,0.021131664370258183,-1.4496412964256737,0.1487957006476512,-0.07226749999999971,0.009399999999999856,0.09381934311116948,0.9033483892853978
C2_sa,S_sa,N,auc_E6,100,100,0.2270511111111111,0.24343777777777778,-0.016386666666666688,0.10688413043487936,0.10828376006978022,0.015214989330811255,-1.0770080944771165,0.28278733229580094,-0.0459735,0.013181277777777783,0.06755077496258398,0.9033483892853978
C2_sa,S_sa,N,S_edge,100,100,0.2764666666666667,0.2865333333333333,-0.010066666666666613,0.18314419076999033,0.1688036284656375,0.024907119383011676,-0.4041682424958686,0.6865281063758097,-0.05815250000000003,0.04001750000000002,0.11058142597582259,0.9033483892853978
C2_sa,S_sa,N,auc_edge,100,100,0.2209652777777778,0.2373791666666667,-0.016413888888888895,0.10057419166300215,0.100556049007523,0.014222055765841188,-1.1541150702215703,0.24984411654410232,-0.04398777777777779,0.011162777777777792,0.06314239646544881,0.9033483892853978
C2_sa,S_sa,N,final_E1v,100,100,0.2783333333333333,0.28996666666666665,-0.011633333333333329,0.19319483022131423,0.1807873384072985,0.026459082401443457,-0.43967259169572254,0.6606558709362274,-0.0630675000000001,0.041135,0.11747175644723724,0.9033483892853978
C2_sa,S_sa,N,final_E2v,100,100,0.2964,0.3111,-0.01469999999999999,0.201238968230449,0.1866799267777026,0.02744932010017444,-0.5355323901048672,0.592886149274528,-0.06793416666666667,0.04003500000000001,0.12186816596761625,0.9033483892853978
C2_sa,S_sa,N,final_E3v,100,100,0.2707333333333333,0.2822,-0.01146666666666668,0.1856571910608167,0.1721046976001147,0.02531573019460816,-0.45294631355760356,0.6510861768414641,-0.06073416666666664,0.0393341666666666,0.11239555652703744,0.9033483892853978
C2_sa,S_sa,N,final_E4v,100,100,0.26039999999999996,0.26286666666666664,-0.0024666666666666726,0.16414884707335187,0.15271359165916137,0.02242014386058924,-0.11002010879165894,0.912505436732374,-0.045933333333333326,0.04279999999999995,0.09953987213704278,0.9618300549341239
C2_sa,S_sa,N,auc_E1v,100,100,0.2288444444444444,0.24303888888888892,-0.01419444444444451,0.10695072073352115,0.10657474922778008,0.015098554181902266,-0.9401194494144705,0.3483018012600322,-0.04355694444444446,0.015122361111111145,0.06703383181062537,0.9033483892853978
C2_sa,S_sa,N,auc_E2v,100,100,0.24037222222222218,0.2588944444444444,-0.018522222222222245,0.10847340666660925,0.11044247455489534,0.015480316579343038,-1.1965015138604034,0.23293211074596912,-0.048294861111111136,0.011478333333333222,0.0687287620690696,0.9033483892853978
