arm,seed,learning_rate,step,E0/n_learnable,E0/success,E0/success_all,E0/mean_steps,E1/n_learnable,E1/success,E1/success_all,E1/mean_steps,E1b/n_learnable,E1b/success,E1b/success_all,E1b/mean_steps,E2/n_learnable,E2/success,E2/success_all,E2/mean_steps,E3a/n_learnable,E3a/success,E3a/success_all,E3a/mean_steps,E3b/n_learnable,E3b/success,E3b/success_all,E3b/mean_steps,E4/n_learnable,E4/success,E4/success_all,E4/mean_steps,E5/n_learnable,E5/success,E5/success_all,E5/mean_steps,n_episodes,n_new,wall_time_sec
N,1,0.0003,409600,282,0.9858156028368794,0.9266666666666666,494.84751773049646,138,1.0,0.92,500.0,93,0.967741935483871,0.9,486.19354838709677,95,1.0,0.95,500.0,96,0.9895833333333334,0.95,495.2604166666667,92,0.9891304347826086,0.91,495.2282608695652,99,0.98989898989899,0.98,495.45454545454544,272,0.9558823529411765,0.8125,485.4227941176471,2267,2267,83.08404278755188
N,3,0.0003,0,282,0.0,0.0,13.365248226950355,138,0.0,0.0,17.333333333333332,93,0.0,0.0,20.956989247311828,95,0.0,0.0,17.36842105263158,96,0.0,0.0,17.5,92,0.0,0.0,13.097826086956522,99,0.0,0.0,13.1010101010101,272,0.0,0.0,13.691176470588236,2119,2119,83.60506916046143
N,3,0.0003,20480,282,0.24468085106382978,0.23,296.18794326241135,138,0.21739130434782608,0.2,290.6231884057971,93,0.26881720430107525,0.25,303.7096774193548,95,0.28421052631578947,0.27,287.10526315789474,96,0.3854166666666667,0.37,332.96875,92,0.2391304347826087,0.22,288.9347826086956,99,0.1111111111111111,0.11,221.7979797979798,272,0.3014705882352941,0.25625,292.84558823529414,2119,2119,83.60506916046143
N,3,0.0003,40960,282,0.08865248226950355,0.08333333333333333,257.38652482269504,138,0.08695652173913043,0.08,258.18840579710144,93,0.03225806451612903,0.03,248.1720430107527,95,0.05263157894736842,0.05,239.25263157894736,96,0.07291666666666667,0.07,253.0,92,0.08695652173913043,0.08,256.6195652173913,99,0.050505050505050504,0.05,209.3838383838384,272,0.08088235294117647,0.06875,270.2389705882353,2119,2119,83.60506916046143
N,3,0.0003,61440,282,0.2695035460992908,0.25333333333333335,347.83687943262413,138,0.2536231884057971,0.23333333333333334,351.82608695652175,93,0.1935483870967742,0.18,342.0537634408602,95,0.16842105263157894,0.16,327.0315789473684,96,0.16666666666666666,0.16,335.1041666666667,92,0.1956521739130435,0.18,338.42391304347825,99,0.15151515151515152,0.15,293.8989898989899,272,0.28308823529411764,0.240625,377.30882352941177,2119,2119,83.60506916046143
N,3,0.0003,81920,282,0.4078014184397163,0.38333333333333336,412.95390070921985,138,0.4927536231884058,0.4533333333333333,433.5652173913044,93,0.40860215053763443,0.38,426.1505376344086,95,0.5473684210526316,0.52,431.2631578947368,96,0.46875,0.45,419.2604166666667,92,0.4782608695652174,0.44,422.32608695652175,99,0.45454545454545453,0.45,394.34343434343435,272,0.40808823529411764,0.346875,415.8492647058824,2119,2119,83.60506916046143
N,3,0.0003,102400,282,0.15602836879432624,0.14666666666666667,300.1914893617021,138,0.11594202898550725,0.10666666666666667,301.54347826086956,93,0.10752688172043011,0.1,290.8494623655914,95,0.07368421052631578,0.07,285.70526315789476,96,0.10416666666666667,0.1,284.46875,92,0.10869565217391304,0.1,290.7391304347826,99,0.09090909090909091,0.09,251.45454545454547,272,0.1801470588235294,0.153125,325.9117647058824,2119,2119,83.60506916046143
N,3,0.0003,122880,282,0.07092198581560284,0.06666666666666667,246.70212765957447,138,0.06521739130434782,0.06,238.13768115942028,93,0.010752688172043012,0.01,217.58064516129033,95,0.031578947368421054,0.03,220.29473684210527,96,0.041666666666666664,0.04,240.23958333333334,92,0.09782608695652174,0.09,246.84782608695653,99,0.06060606060606061,0.06,202.31313131313132,272,0.07720588235294118,0.065625,254.27205882352942,2119,2119,83.60506916046143
N,3,0.0003,143360,282,0.07801418439716312,0.07333333333333333,243.77304964539007,138,0.050724637681159424,0.04666666666666667,233.63768115942028,93,0.010752688172043012,0.01,211.7311827956989,95,0.021052631578947368,0.02,217.13684210526316,96,0.03125,0.03,234.94791666666666,92,0.07608695652173914,0.07,239.8913043478261,99,0.050505050505050504,0.05,203.63636363636363,272,0.051470588235294115,0.04375,234.14705882352942,2119,2119,83.60506916046143
N,3,0.0003,163840,282,0.10638297872340426,0.1,285.6666666666667,138,0.057971014492753624,0.05333333333333334,270.1231884057971,93,0.010752688172043012,0.01,249.0752688172043,95,0.06315789473684211,0.06,266.2526315789474,96,0.07291666666666667,0.07,281.09375,92,0.14130434782608695,0.13,285.92391304347825,99,0.08080808080808081,0.08,249.8080808080808,272,0.05514705882352941,0.046875,273.6029411764706,2119,2119,83.60506916046143
