arm,seed,final_random,auc_random,final_steps_random,auc_steps_random,final_verifai,auc_verifai,final_steps_verifai,auc_steps_verifai
B_ce,98,0.6711409395973155,0.6170768083519762,90.48657718120803,99.49123788217746,0.0,0.0,200.0,200.0
B_ce,99,0.6711409395973155,0.5592841163310963,90.48657718120803,108.73881431767336,0.0,0.0,200.0,200.0
B_ce,100,0.6711409395973155,0.6620059656972409,90.48657718120803,92.33351976137209,0.0,0.0,200.0,200.0
B_mab,1,0.6711409395973155,0.6262117822520508,90.48657718120803,97.9560029828486,0.0,0.0,200.0,200.0
B_mab,2,0.6711409395973155,0.6528709917971663,90.48657718120803,93.57513049962712,0.0,0.0,200.0,200.0
B_mab,3,0.6711409395973155,0.6560402684563759,90.48657718120803,92.92617449664426,0.0,0.0,200.0,200.0
B_mab,4,0.6711409395973155,0.5430648769574944,90.48657718120803,111.74422073079789,0.0,0.0,200.0,200.0
B_mab,5,0.6711409395973155,0.261185682326622,90.48657718120803,157.38683818046232,0.0,0.0,200.0,200.0
B_mab,6,0.6711409395973155,0.5272184936614467,90.48657718120803,115.91722595078298,0.0,0.0,200.0,200.0
B_mab,7,0.6711409395973155,0.1890380313199105,90.48657718120803,169.16293810589113,0.0,0.0,200.0,200.0
B_mab,8,0.6711409395973155,0.6208053691275168,90.48657718120803,98.74478001491423,0.0,0.0,200.0,200.0
B_mab,9,0.6711409395973155,0.6271439224459359,90.48657718120803,97.75410141685308,0.0,0.0,200.0,200.0
B_mab,10,0.6711409395973155,0.6366517524235645,90.48657718120803,96.06599552572706,0.0,0.0,200.0,200.0
B_mab,11,0.6711409395973155,0.6482102908277406,90.48657718120803,94.47371364653242,0.0,0.0,200.0,200.0
B_mab,12,0.6711409395973155,0.6519388516032812,90.48657718120803,93.63963460104398,0.0,0.0,200.0,200.0
B_mab,13,0.6711409395973155,0.6707680835197615,90.48657718120803,90.55108128262489,0.0,0.0,200.0,200.0
B_mab,14,0.6711409395973155,0.5600298284862044,90.48657718120803,108.62416107382549,0.0,0.0,200.0,200.0
B_mab,15,0.6711409395973155,0.5745712155108128,90.48657718120803,106.30667412378818,0.0,0.0,200.0,200.0
B_mab,16,0.6711409395973155,0.6252796420581656,90.48657718120803,97.74403430275912,0.0,0.0,200.0,200.0
B_mab,17,0.6711409395973155,0.6090604026845637,90.48657718120803,100.81674123788216,0.0,0.0,200.0,200.0
B_mab,18,0.6711409395973155,0.6491424310216256,90.48657718120803,93.91405667412377,0.0,0.0,200.0,200.0
B_mab,19,0.6711409395973155,0.45525727069351235,90.48657718120803,126.3204697986577,0.0,0.0,200.0,200.0
B_mab,20,0.6711409395973155,0.5436241610738255,90.48657718120803,111.28747203579417,0.0,0.0,200.0,200.0
B_mab,21,0.6711409395973155,0.6323639075316927,90.48657718120803,97.16424310216254,0.0,0.0,200.0,200.0
B_mab,22,0.6711409395973155,0.552013422818792,90.48657718120803,111.09265473527216,0.0,0.0,200.0,200.0
B_mab,23,0.6711409395973155,0.5732662192393736,90.48657718120803,106.51398210290827,0.0,0.0,200.0,200.0
B_mab,24,0.6711409395973155,0.6042132736763609,90.48657718120803,102.04287844891869,0.0,0.0,200.0,200.0
B_mab,25,0.6711409395973155,0.5887397464578673,90.48657718120803,105.6012304250559,0.0,0.0,200.0,200.0
B_mab,26,0.6711409395973155,0.5706562266964952,90.48657718120803,107.12714392244592,0.0,0.0,200.0,200.0
B_mab,27,0.6711409395973155,0.6483967188665175,90.48657718120803,94.38236390753167,0.0,0.0,200.0,200.0
B_mab,28,0.6711409395973155,0.6601416853094705,90.48657718120803,92.09507829977628,0.0,0.0,200.0,200.0
B_mab,29,0.6711409395973155,0.6526845637583893,90.48657718120803,93.62024608501116,0.0,0.0,200.0,200.0
B_mab,30,0.6711409395973155,0.6446681580909769,90.48657718120803,94.9697986577181,0.0,0.0,200.0,200.0
B_mab,31,0.6711409395973155,0.6265846383296048,90.48657718120803,97.92859806114838,0.0,0.0,200.0,200.0
B_mab,32,0.6711409395973155,0.5592841163310963,90.48657718120803,108.73881431767336,0.0,0.0,200.0,200.0
B_mab,33,0.6711409395973155,0.6398210290827742,90.48657718120803,95.53038777032064,0.0,0.0,200.0,200.0
B_mab,34,0.6711409395973155,0.6646159582401194,90.48657718120803,91.5257270693512,0.0,0.0,200.0,200.0
B_mab,35,0.6711409395973155,0.3396718866517524,90.48657718120803,144.5885533184191,0.0,0.0,200.0,200.0
B_mab,36,0.6711409395973155,0.6648023862788963,90.48657718120803,91.4325130499627,0.0,0.0,200.0,200.0
B_mab,37,0.6711409395973155,0.6267710663683819,90.48657718120803,97.67095451155852,0.0,0.0,200.0,200.0
B_mab,38,0.6711409395973155,0.5592841163310963,90.48657718120803,108.73881431767336,0.0,0.0,200.0,200.0
B_mab,39,0.6711409395973155,0.6355331841909023,90.48657718120803,95.98695003728558,0.0,0.0,200.0,200.0
B_mab,40,0.6711409395973155,0.49962714392244595,90.48657718120803,118.55835197613719,0.0,0.0,200.0,200.0
B_mab,41,0.6711409395973155,0.6593959731543624,90.48657718120803,92.2636092468307,0.0,0.0,200.0,200.0
B_mab,42,0.6711409395973155,0.33557046979865773,90.48657718120803,145.24328859060404,0.0,0.0,200.0,200.0
